GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bai09,bank,BankException,0,4,0,0,0,2,0,1,0,1
Bai09,bank,Bank,234,0,23,0,51,0,22,0,10,0
Bai09,bank,SavingsAccount,52,67,0,4,13,17,1,4,1,2
Bai09,bank,InvalidFundingAmountException,0,14,0,0,0,2,0,1,0,1
Bai09,bank,CheckingAccount,11,55,0,0,4,18,0,3,0,3
Bai09,bank,Transaction,104,22,5,0,23,8,13,3,9,3
Bai09,bank,Customer,33,44,5,3,14,14,10,5,6,5
Bai09,bank,InsufficientFundsException,0,14,0,0,0,2,0,1,0,1
Bai09,bank,Account,97,83,11,9,19,22,14,10,6,8
Bai09,bank,Main,20,0,0,0,7,0,2,0,2,0
